Date,Price,Open,High,Low,Vol.,Change %
14-02-2023,55453,55274,55868,55266,3.62K,0.15%
13-02-2023,55158,56615,56784,55100,6.37K,-2.79%
10-02-2023,56684,57784,57979,56536,4.75K,-0.62%
09-02-2023,57037,57037,57852,56848,4.12K,-0.13%
08-02-2023,57206,57005,57247,56340,5.96K,0.32%
07-02-2023,57170,57345,57480,57079,3.66K,0.53%
06-02-2023,56784,56790,56973,56416,144.50K,-0.06%
03-02-2023,56449,56980,57023,56113,129.95K,-0.65%
02-02-2023,56702,56580,56902,56068,86.71K,0.37%
01-02-2023,56281,56186,56520,55785,83.91K,0.35%
31-01-2023,56091,56166,56319,55624,57.33K,0.03%
30-01-2023,55926,56067,56231,55751,45.79K,0.22%
27-01-2023,55796,55333,56170,55166,49.16K,0.87%
26-01-2023,55250,55371,55899,55012,29.26K,-0.15%
25-01-2023,55383,55763,56004,55283,40.45K,0.88%
24-01-2023,54970,55370,55600,54863,268.37K,-1.48%
23-01-2023,55714,55067,55817,54949,57.03K,1.20%
20-01-2023,54715,54135,54924,54016,62.08K,1.06%
19-01-2023,54319,54384,54651,54089,65.91K,0.13%
18-01-2023,54380,54343,54622,54266,46.44K,-0.06%
17-01-2023,54542,54317,54778,54317,52.32K,0.44%
16-01-2023,54302,53323,54451,53314,16.60K,1.57%
13-01-2023,53233,53786,53901,52929,16.26K,-0.98%
12-01-2023,53639,53249,53982,53161,11.66K,0.69%
11-01-2023,53622,53193,53913,53193,13.45K,1.08%
10-01-2023,53026,52885,53199,52845,5.71K,0.02%
09-01-2023,53387,52984,53410,52955,5.11K,0.57%
06-01-2023,53150,53339,53344,52813,5.57K,-0.40%
05-01-2023,53555,53118,54085,53118,4.24K,1.04%
04-01-2023,53049,52949,53276,52903,5.23K,0.50%
03-01-2023,52871,53677,53852,52801,5.52K,-1.64%
02-01-2023,53731,53795,53950,53620,2.57K,0.01%
30-12-2022,53710,52879,53909,52820,4.61K,1.53%
29-12-2022,52925,53074,53235,52797,2.04K,-0.14%
28-12-2022,52987,52602,53092,52508,3.23K,0.69%
27-12-2022,52682,53596,53596,52521,3.94K,-1.67%
26-12-2022,53463,53565,53643,53107,3.00K,-0.36%
23-12-2022,53742,52784,54061,52767,6.09K,1.83%
22-12-2022,52890,53370,53370,52817,3.36K,-1.01%
21-12-2022,53380,53126,53600,53085,4.51K,0.51%
20-12-2022,52932,52850,53083,52693,2.77K,0.19%
19-12-2022,52861,52427,52998,52395,3.35K,0.87%
16-12-2022,52443,52405,52746,52364,2.96K,0.06%
15-12-2022,52497,53374,53690,52413,4.95K,-1.55%
14-12-2022,53084,53282,53349,52578,3.02K,-0.31%
13-12-2022,53183,52244,53267,52244,3.78K,3.11%
12-12-2022,51741,51817,52447,51700,3.78K,-0.20%
09-12-2022,51706,51435,51976,51429,2.43K,1.33%
08-12-2022,50945,51403,51618,50887,128.55K,-0.76%
07-12-2022,51289,51185,51498,51051,62.95K,0.84%
06-12-2022,51031,50944,51240,50795,134.30K,-0.36%
05-12-2022,50851,50712,51119,50074,73.08K,0.32%
02-12-2022,50392,50409,50708,50323,60.48K,0.01%
01-12-2022,50207,50550,50639,50041,66.25K,-0.81%
30-11-2022,50768,51015,51213,50624,31.81K,-0.49%
29-11-2022,51181,51101,51608,50997,28.83K,-0.74%
28-11-2022,51577,51749,51914,51499,48.04K,-0.03%
25-11-2022,51622,51527,52037,51418,88.74K,0.04%
24-11-2022,51554,51344,51600,50955,30.96K,0.41%
23-11-2022,51338,51001,51479,50803,47.44K,0.89%
22-11-2022,50955,49678,51151,49583,64.74K,2.32%
21-11-2022,49793,49839,50141,49551,52.46K,-0.13%
18-11-2022,49806,48700,49930,48404,57.68K,2.10%
17-11-2022,48720,48662,48855,48418,45.28K,0.23%
16-11-2022,48590,47302,48872,47302,18.09K,2.78%
15-11-2022,47033,47248,47374,46676,28.12K,-1.15%
14-11-2022,47526,47549,48180,47163,21.14K,0.02%
11-11-2022,47231,46836,47529,46805,22.97K,0.54%
10-11-2022,47068,47255,47284,46903,7.30K,-0.25%
09-11-2022,47600,48242,48337,47488,13.64K,-1.24%
08-11-2022,48220,48283,48464,48019,8.61K,-0.20%
07-11-2022,48575,48220,48852,48140,17.17K,0.67%
04-11-2022,48345,48285,48571,47860,18.34K,0.25%
03-11-2022,48679,48925,49205,48501,7.08K,-0.13%
02-11-2022,48729,48015,48913,47702,7.25K,1.18%
01-11-2022,48124,48060,48512,47830,3.05K,0.16%
31-10-2022,48115,48790,48842,48063,4.34K,-1.29%
28-10-2022,48446,48449,48737,48301,3.04K,-0.49%
27-10-2022,48748,48323,49044,48323,2.36K,0.90%
26-10-2022,48038,48711,48858,47954,8.87K,-1.66%
25-10-2022,49213,49315,49539,48375,7.67K,-0.02%
24-10-2022,49358,49218,49560,49096,6.02K,-0.49%
21-10-2022,49475,49178,49623,48956,6.04K,0.63%
20-10-2022,49336,50160,50248,49261,5.85K,-1.97%
19-10-2022,50447,50798,50804,50142,6.08K,-0.66%
18-10-2022,50342,50479,50705,50171,5.94K,0.01%
17-10-2022,50266,50651,50706,49944,9.56K,-0.54%
14-10-2022,50645,50032,50875,49896,7.09K,1.68%
13-10-2022,49707,48765,49936,48681,7.15K,1.78%
12-10-2022,48830,48766,49172,48717,2.24K,0.20%
11-10-2022,48792,48803,48908,48240,4.51K,0.69%
10-10-2022,48522,47549,48569,47133,279.82K,2.07%
07-10-2022,47800,47595,48206,47581,197.06K,0.17%
06-10-2022,47280,47790,47969,47115,219.86K,-1.34%
05-10-2022,47672,48378,48519,47413,243.05K,-1.52%
04-10-2022,48300,48349,48656,47788,241.28K,0.32%
03-10-2022,48170,48098,48779,47756,227.94K,0.28%
30-09-2022,48047,48443,48555,47960,143.93K,-0.42%
29-09-2022,48222,48429,48527,47918,141.17K,-0.31%
28-09-2022,48342,48061,48526,47722,217.23K,0.37%
27-09-2022,48341,49203,49220,48099,268.09K,-1.86%
26-09-2022,49200,49272,49436,49033,163.29K,-0.48%
23-09-2022,49221,49754,49952,48914,232.70K,-1.33%
22-09-2022,49761,49412,49927,49238,154.37K,0.69%
21-09-2022,48723,48469,49058,48464,154.71K,0.49%
20-09-2022,48392,48653,48932,48209,184.18K,-0.44%
19-09-2022,48570,48151,48666,47836,173.62K,0.87%
16-09-2022,48147,48465,48836,48082,206.27K,0.00%
15-09-2022,48239,48558,48929,48175,206.27K,-0.56%
14-09-2022,48265,47850,48458,47797,174.68K,0.78%
13-09-2022,47980,48365,48365,47694,198.62K,-0.98%
12-09-2022,48316,48576,48646,48159,176.73K,-0.58%
09-09-2022,48773,49153,49237,48678,130.66K,-0.77%
08-09-2022,49170,49133,49400,48655,156.22K,-0.01%
07-09-2022,49150,49768,49782,49048,176.90K,-1.22%
06-09-2022,49906,49709,50115,49670,117.57K,0.56%
05-09-2022,49573,49568,49798,49385,112.65K,0.02%
02-09-2022,49524,49209,49701,49015,145.26K,0.73%
01-09-2022,49137,49480,49522,48906,142.86K,-0.82%
31-08-2022,49431,49717,49723,49325,138.70K,-0.47%
30-08-2022,49773,49938,50197,49705,124.32K,-0.31%
29-08-2022,50108,50506,50669,50029,137.83K,-0.73%
26-08-2022,50479,50643,50713,50358,94.40K,-0.47%
25-08-2022,50653,51239,51239,50358,137.77K,-0.96%
24-08-2022,51091,50801,51192,50644,118.65K,0.46%
23-08-2022,50900,50920,51117,50658,121.26K,-0.36%
22-08-2022,51085,51023,51392,50792,154.59K,0.08%
19-08-2022,51091,50899,51223,50727,120.51K,0.39%
18-08-2022,50782,50363,50816,50267,103.68K,0.78%
17-08-2022,50136,50597,50707,49828,168.90K,-0.87%
16-08-2022,50510,49817,50653,49741,153.29K,1.72%
15-08-2022,49827,49852,50191,49647,151.73K,-0.74%
12-08-2022,50277,50263,50707,49892,174.17K,0.11%
11-08-2022,50183,50037,50317,49806,133.74K,0.33%
10-08-2022,49709,49466,49787,49335,140.67K,0.71%
09-08-2022,49653,49153,49799,49125,192.86K,2.38%
08-08-2022,48509,48403,49071,48214,17.57K,0.12%
05-08-2022,48317,48297,48538,48149,10.32K,-0.06%
04-08-2022,48226,48413,48642,48050,6.09K,-0.46%
03-08-2022,48414,48124,48702,47982,7.71K,0.81%
02-08-2022,47710,47172,47868,46746,7.29K,0.78%
01-08-2022,47563,47822,47903,47293,4.85K,-0.60%
29-07-2022,48078,47944,48238,47871,5.09K,0.02%
28-07-2022,48245,48119,48580,48088,5.88K,0.36%
27-07-2022,48206,48347,48522,48035,2.93K,-0.17%
26-07-2022,48287,49039,49039,47986,5.76K,-1.69%
25-07-2022,49024,48687,49257,48156,5.40K,0.61%
22-07-2022,48811,49003,49208,48721,5.71K,-0.40%
21-07-2022,49018,49291,49328,48942,6.75K,-0.61%
20-07-2022,49397,49312,49659,48942,6.63K,0.15%
19-07-2022,49243,49192,49477,49136,2.88K,0.18%
18-07-2022,49239,50100,50207,49078,4.85K,-1.56%
15-07-2022,49877,51289,51315,49854,2.66K,0.50%
14-07-2022,49707,51131,51153,49682,310.37K,-2.57%
13-07-2022,50865,50988,51190,50367,3.28K,-0.32%
12-07-2022,50902,51230,51429,50779,2.83K,-0.56%
11-07-2022,51162,51266,51641,50980,1.43K,-0.21%
08-07-2022,51172,51247,51429,51133,2.99K,-0.20%
07-07-2022,51217,51625,51709,51142,1.80K,-0.29%
06-07-2022,51285,51126,51369,50934,3.38K,0.04%
05-07-2022,51429,51705,51960,51255,2.55K,-0.48%
04-07-2022,51441,51321,51764,51056,2.54K,-0.02%
01-07-2022,51463,51455,51691,51246,3.73K,0.49%
30-06-2022,51218,51268,51486,50993,176.30K,-0.58%
29-06-2022,51506,52074,52074,51386,0.88K,-0.50%
28-06-2022,51798,51408,52079,50875,2.24K,1.66%
27-06-2022,50595,50308,51298,50297,3.10K,0.34%
24-06-2022,50305,50482,50827,50098,6.44K,-0.97%
23-06-2022,50725,52026,52114,50389,3.02K,-2.32%
22-06-2022,51953,51252,52049,50604,2.02K,1.22%
21-06-2022,51296,51370,51401,51006,1.06K,-0.20%
20-06-2022,51265,51229,51419,51001,1.85K,0.24%
17-06-2022,51158,50932,51309,50789,0.58K,0.46%
16-06-2022,50938,51254,51408,50935,0.29K,-0.34%
15-06-2022,51241,51864,52016,51233,0.84K,-1.12%
14-06-2022,51724,51105,51798,51105,1.24K,1.22%
13-06-2022,51153,50864,51263,50654,1.11K,0.02%
10-06-2022,51168,51325,51692,50914,2.93K,0.43%
09-06-2022,50736,50958,51271,50439,201.80K,-0.89%
08-06-2022,51122,51067,51352,50979,1.64K,0.60%
07-06-2022,50788,50898,50928,50476,92.09K,0.08%
06-06-2022,50848,51361,51402,50642,99.60K,-1.01%
03-06-2022,51235,50885,51334,50756,76.58K,0.94%
02-06-2022,50615,50533,51065,50500,62.66K,0.30%
01-06-2022,50569,50542,50723,50266,42.70K,0.03%
31-05-2022,50578,49852,50761,49677,38.86K,1.39%
30-05-2022,49854,49794,50043,49562,40.54K,-0.16%
27-05-2022,49981,50154,50406,49773,27.00K,0.27%
26-05-2022,49852,49732,50181,49074,27.77K,0.31%
25-05-2022,49632,49995,50162,49336,21.40K,-0.92%
24-05-2022,50055,50798,50990,49935,71.42K,-1.58%
23-05-2022,50904,50464,51000,50275,60.05K,0.68%
20-05-2022,50768,51095,51406,50590,90.25K,-0.94%
19-05-2022,50953,51635,51660,50753,71.72K,-1.29%
18-05-2022,51880,51723,52171,51391,52.58K,0.38%
17-05-2022,51460,51687,52406,51367,28.69K,0.36%
16-05-2022,51511,51508,52131,51308,29.35K,-0.09%
13-05-2022,51321,51119,51518,50744,24.90K,0.38%
12-05-2022,51094,51982,52100,50827,9.78K,-2.50%
11-05-2022,52399,51959,52661,51907,7.74K,1.07%
10-05-2022,51710,51566,51874,51152,6.72K,0.14%
09-05-2022,51730,52233,52254,51545,5.84K,-0.81%
06-05-2022,51893,51790,52100,51706,8.90K,0.43%
05-05-2022,51361,52290,52430,51248,17.15K,-1.98%
04-05-2022,52239,52739,52860,52066,12.26K,-0.70%
03-05-2022,52734,52982,53036,52459,11.80K,-0.37%
02-05-2022,52942,52852,53076,52550,5.75K,-0.18%
29-04-2022,53071,53665,53767,52720,5.38K,-1.38%
28-04-2022,53908,53632,54346,53597,1.60K,0.59%
27-04-2022,53565,53757,53808,53241,3.13K,-0.50%
26-04-2022,53866,53463,53885,53393,9.41K,0.43%
25-04-2022,53684,53197,53849,53072,9.08K,1.43%
22-04-2022,52738,52794,53444,52600,5.74K,0.14%
21-04-2022,52515,52225,52680,52125,6.83K,0.41%
20-04-2022,52305,52001,52407,51923,6.75K,0.77%
19-04-2022,52024,52135,52372,51835,3.99K,-0.22%
18-04-2022,52027,52243,52590,51858,4.70K,-0.32%
15-04-2022,52227,52060,52399,51804,2.95K,0.54%
14-04-2022,51917,52420,52463,51861,2.17K,-1.55%
13-04-2022,52615,52159,52639,51785,7.31K,0.79%
12-04-2022,52174,51796,52287,51672,3.76K,1.36%
11-04-2022,51307,51553,51746,50644,214.61K,-1.37%
08-04-2022,52107,52583,52656,51463,109.25K,-0.77%
07-04-2022,52479,52570,52762,52168,63.34K,-0.40%
06-04-2022,52714,52210,52842,52049,71.41K,1.29%
05-04-2022,51711,51277,52012,51128,57.22K,0.83%
04-04-2022,51278,51659,51757,50980,47.98K,-0.42%
01-04-2022,51865,51667,52198,51527,50.54K,0.05%
31-03-2022,51795,52170,52251,51495,37.36K,-0.73%
30-03-2022,52106,51710,52304,51593,36.57K,1.77%
29-03-2022,51093,51376,51641,50722,40.17K,-1.05%
28-03-2022,51927,52571,52636,51358,49.53K,-1.57%
25-03-2022,52889,53643,53791,52652,24.89K,-1.20%
24-03-2022,53546,53955,54036,52884,84.98K,-0.75%
23-03-2022,54112,53907,54484,53418,94.69K,0.64%
22-03-2022,53506,55346,55620,53315,63.78K,-2.69%
21-03-2022,55074,53928,56024,53538,73.70K,2.38%
18-03-2022,53641,53161,53939,52798,73.28K,1.49%
17-03-2022,52766,52021,52985,51828,12.27K,1.58%
16-03-2022,52126,51989,52349,51785,14.29K,0.71%
15-03-2022,51907,52551,52678,51743,10.16K,-1.10%
14-03-2022,52507,51566,52737,51415,9.48K,2.26%
11-03-2022,51386,51845,52306,51159,9.26K,0.70%
10-03-2022,50896,51399,51897,50812,8.22K,-2.00%
09-03-2022,51984,51599,53323,50707,22.15K,0.82%
08-03-2022,51914,51653,51976,51393,7.72K,0.16%
07-03-2022,51880,51717,52173,51399,15.12K,0.17%
04-03-2022,51420,51315,51714,50943,334.59K,0.23%
03-03-2022,50999,51050,51128,50696,4.60K,-0.12%
02-03-2022,50834,50026,50869,49981,10.08K,1.62%
01-03-2022,50119,49683,50185,49597,5.49K,0.82%
28-02-2022,49538,49983,50209,49261,5.03K,-0.70%
25-02-2022,49595,49434,49775,49132,5.15K,1.48%
24-02-2022,49224,48821,49893,48661,9.35K,0.26%
23-02-2022,48463,48371,48613,48052,14.23K,0.05%
22-02-2022,48430,48175,48438,48148,6.96K,0.48%
21-02-2022,48133,47962,48180,47822,10.19K,0.35%
18-02-2022,48072,47708,48146,47703,5.59K,0.77%
17-02-2022,47973,47914,48179,47551,6.89K,0.21%
16-02-2022,47837,47914,47969,47429,3.60K,-0.34%
15-02-2022,48082,47812,48114,47669,3.75K,0.49%
14-02-2022,48170,48079,48386,48055,3.20K,0.28%
11-02-2022,47820,47719,47926,47546,7.66K,0.55%
10-02-2022,47401,47727,47756,47255,7.00K,-0.32%
09-02-2022,47366,48063,48126,47305,206.38K,-2.02%
08-02-2022,48285,48778,48828,47874,154.39K,-1.24%
07-02-2022,48849,48612,48894,48370,77.99K,0.59%
04-02-2022,48558,48403,48637,48234,103.78K,0.55%
03-02-2022,48292,48516,48600,48200,68.74K,-0.59%
02-02-2022,48693,48640,48848,48521,80.38K,-0.03%
01-02-2022,48662,47894,48677,47768,88.81K,1.69%
31-01-2022,47730,47859,48001,47527,102.42K,0.14%
28-01-2022,47977,48144,48255,47774,362.94K,-0.36%
27-01-2022,48257,48376,48588,48198,25.16K,-0.27%
26-01-2022,48190,48298,48364,47936,86.51K,-0.32%
25-01-2022,48271,48110,48287,47930,45.50K,0.48%
24-01-2022,47945,47490,48064,47453,40.67K,1.09%
21-01-2022,47279,47192,47360,47035,39.84K,0.08%
20-01-2022,47279,47098,47300,46857,71.89K,0.47%
19-01-2022,47051,47628,47634,46959,33.20K,-1.97%
18-01-2022,48067,47791,48201,47649,10.32K,0.58%
17-01-2022,47592,47265,47658,47163,10.86K,0.81%
14-01-2022,47147,47945,48010,47097,9.97K,-1.56%
13-01-2022,47776,47466,47844,47437,5.23K,0.79%
12-01-2022,47288,47049,47384,46825,6.52K,0.46%
11-01-2022,47082,47124,47129,46658,3.24K,-0.28%
10-01-2022,47348,47390,47617,47210,2.64K,0.12%
07-01-2022,47452,47397,47602,47319,2.57K,-0.16%
06-01-2022,47597,47410,47602,47271,2.46K,0.52%
05-01-2022,47286,46951,47378,46867,1.60K,0.75%
04-01-2022,47087,47172,47416,46995,4.59K,-0.32%
03-01-2022,47158,47302,47383,47013,3.80K,-0.58%
31-12-2021,47485,47391,47766,47275,8.37K,0.37%
30-12-2021,47267,46755,47330,46681,7.25K,1.91%
29-12-2021,46476,46671,46908,46174,1.84K,-0.44%
28-12-2021,46772,47175,47212,46611,6.65K,-0.89%
27-12-2021,47359,47253,47454,47200,5.02K,0.20%
24-12-2021,47278,47069,47440,46905,6.46K,0.46%
23-12-2021,47084,47282,47388,46991,5.16K,-0.49%
22-12-2021,47582,47595,47811,47449,2.70K,0.04%
21-12-2021,47715,47590,47833,47387,5.25K,0.30%
20-12-2021,47589,47816,47819,47514,2.89K,-0.24%
17-12-2021,47882,47526,47984,47418,6.77K,1.20%
16-12-2021,47423,47998,48020,47410,5.57K,-1.21%
15-12-2021,48111,47898,48378,47826,4.08K,0.45%
14-12-2021,47701,47983,48635,47565,3.42K,-0.49%
13-12-2021,47764,47906,48189,47681,3.17K,-0.06%
10-12-2021,47758,47870,48591,47584,180.64K,0.15%
09-12-2021,47614,47723,48435,47430,186.80K,-0.08%
08-12-2021,47515,47659,47832,47337,103.43K,0.03%
07-12-2021,47515,48111,48284,47462,150.81K,-1.26%
06-12-2021,48113,49219,49280,48012,140.29K,-2.44%
03-12-2021,49214,49466,49644,49020,62.34K,-0.52%
02-12-2021,49306,49509,49621,49184,50.58K,-0.47%
01-12-2021,49560,49075,49568,49057,34.03K,0.87%
30-11-2021,49185,49469,49853,49101,24.65K,-0.67%
29-11-2021,49484,49672,49672,49266,87.36K,-0.09%
26-11-2021,49536,49417,49602,48982,28.48K,0.24%
25-11-2021,49046,48720,49164,48555,47.68K,0.85%
24-11-2021,48712,48320,49296,48043,73.44K,0.97%
23-11-2021,48133,48015,48238,47878,54.48K,0.15%
22-11-2021,48061,47850,48066,47685,39.67K,0.62%
19-11-2021,47705,47071,47789,46882,48.24K,1.30%
18-11-2021,46975,46383,47147,46383,8.08K,1.68%
17-11-2021,46256,46911,46911,46125,6.75K,-1.42%
16-11-2021,47052,47188,47259,47005,7.90K,-0.36%
15-11-2021,47186,46895,47228,46793,11.68K,0.67%
12-11-2021,46836,47292,47315,46539,9.21K,-1.04%
11-11-2021,47306,47180,47566,47057,12.55K,0.22%
10-11-2021,47269,47157,47319,46899,2.79K,0.30%
09-11-2021,46976,47379,47389,46701,3.37K,-0.74%
08-11-2021,47164,46841,47282,46812,6.08K,0.58%
05-11-2021,47062,46761,47564,46729,12.85K,0.81%
04-11-2021,46907,46925,47112,46807,1.02K,-0.17%
03-11-2021,46925,46523,47038,46513,4.21K,0.81%
02-11-2021,46699,46551,47102,46520,1.56K,0.27%
01-11-2021,46661,46711,46819,46534,1.57K,-0.15%
29-10-2021,46791,47563,47563,46706,3.80K,-1.64%
28-10-2021,47480,47372,47580,47219,4.07K,0.17%
27-10-2021,47576,46655,47621,46605,5.67K,2.02%
26-10-2021,46557,46412,46835,46362,4.82K,0.20%
25-10-2021,46514,46583,46636,46366,4.27K,-0.10%
22-10-2021,46545,46466,47175,46445,7.54K,-0.10%
21-10-2021,46522,46643,46738,46347,5.37K,-0.15%
20-10-2021,46541,46507,46639,46124,3.61K,0.05%
19-10-2021,46710,46978,46978,46400,4.83K,-0.37%
18-10-2021,46941,46756,47026,46419,2.67K,0.53%
15-10-2021,46583,46556,46750,46358,5.81K,0.09%
14-10-2021,46519,45715,46725,45619,15.87K,1.95%
13-10-2021,45819,46114,46422,45787,2.05K,-0.73%
12-10-2021,46266,46598,46713,46007,215.84K,-0.83%
11-10-2021,46599,46594,46836,46405,137.57K,0.02%
08-10-2021,46423,46211,46590,46118,151.55K,0.11%
07-10-2021,46184,46696,46904,45859,225.46K,-1.63%
06-10-2021,46920,46820,47173,46545,172.35K,0.03%
05-10-2021,46770,46436,46891,46247,141.62K,0.82%
04-10-2021,46406,46153,46527,45840,152.45K,0.71%
01-10-2021,45809,45893,46238,45697,183.25K,-0.30%
30-09-2021,45960,46975,47022,45667,255.27K,-2.12%
29-09-2021,47038,47347,47397,46957,139.30K,-0.68%
28-09-2021,47298,46976,47389,46604,197.95K,0.71%
27-09-2021,46728,46608,46879,46468,114.31K,0.13%
24-09-2021,46666,46772,47028,46564,136.25K,-0.44%
23-09-2021,46864,46627,46953,46476,154.13K,0.36%
22-09-2021,46705,46772,46988,46434,161.26K,-0.28%
21-09-2021,46784,47694,47694,46659,252.48K,0.00%
20-09-2021,46726,47635,47635,46601,252.48K,-1.92%
17-09-2021,47635,47058,47718,47043,184.98K,1.23%
16-09-2021,47014,47136,47224,46884,113.03K,-0.25%
15-09-2021,47047,47065,47221,46907,140.12K,-0.12%
14-09-2021,47231,47078,47330,46849,170.39K,0.33%
13-09-2021,47025,47269,47396,46968,104.88K,-0.40%
10-09-2021,47188,46558,47251,46299,203.64K,1.35%
09-09-2021,46572,46515,46707,46212,134.53K,0.23%
08-09-2021,46621,46988,46993,46439,163.46K,-0.97%
07-09-2021,46851,46828,46947,46698,114.79K,0.12%
06-09-2021,46562,45915,46634,45832,156.32K,1.25%
03-09-2021,45936,45905,46116,45833,107.97K,0.05%
02-09-2021,45919,46083,46225,45700,151.25K,-0.07%
01-09-2021,45945,46033,46236,45801,132.73K,-0.19%
31-08-2021,46005,46038,46257,45858,144.82K,-0.11%
30-08-2021,46276,46046,46315,45816,137.70K,0.65%
27-08-2021,46087,45470,46183,45433,144.81K,1.51%
26-08-2021,45823,45851,46027,45582,137.12K,-0.09%
25-08-2021,45840,45241,45929,45090,185.44K,1.25%
24-08-2021,45285,45293,45487,44940,182.56K,0.30%
23-08-2021,45149,46155,46174,43878,289.54K,-2.08%
20-08-2021,46241,47384,47392,46146,323.15K,-2.53%
19-08-2021,47460,47617,47696,47218,169.84K,-0.31%
18-08-2021,47549,47528,48110,47387,244.68K,0.02%
17-08-2021,47593,47664,47701,47472,103.45K,-0.44%
16-08-2021,47674,47538,47700,47307,159.76K,0.28%
13-08-2021,47589,47990,48068,47482,157.14K,-1.01%
12-08-2021,48123,47486,48168,47471,212.07K,1.89%
11-08-2021,47199,47165,47440,46969,23.61K,0.01%
10-08-2021,47306,47240,47450,47125,8.57K,0.03%
09-08-2021,47324,47400,47657,47242,10.14K,-0.14%
06-08-2021,47233,47377,47458,46903,8.98K,-0.19%
05-08-2021,47234,47200,47312,46892,4.32K,0.11%
04-08-2021,47230,47397,47512,47007,4.22K,-0.44%
03-08-2021,47487,47527,47857,47328,7.14K,0.12%
02-08-2021,47497,47578,47722,47140,3.00K,-0.32%
30-07-2021,47641,48048,48090,47508,4.48K,-0.77%
29-07-2021,47949,47931,48091,47737,5.06K,0.22%
28-07-2021,48004,47560,48154,47492,2.39K,0.83%
27-07-2021,47612,47536,47815,47318,3.16K,0.23%
26-07-2021,47400,47460,47489,47030,2.38K,-0.25%
23-07-2021,47574,47398,47639,47214,3.83K,0.57%
22-07-2021,47324,47447,47825,47156,3.63K,-0.11%
21-07-2021,47402,47249,47612,47194,1.60K,0.45%
20-07-2021,47217,46993,47777,46983,3.97K,0.09%
19-07-2021,47377,47200,47944,47126,276.60K,0.50%
16-07-2021,46983,46851,47309,46767,1.11K,0.38%
15-07-2021,46769,46611,46940,46501,1.10K,0.28%
14-07-2021,46587,46335,46637,46112,1.30K,0.46%
13-07-2021,46455,46853,46855,46116,1.35K,-0.97%
12-07-2021,46876,46887,46979,46637,0.64K,0.16%
09-07-2021,46763,46687,47089,46671,1.33K,0.06%
08-07-2021,46893,46933,47191,46798,0.93K,-0.37%
07-07-2021,47105,46973,47414,46841,0.86K,0.34%
06-07-2021,46816,46950,47139,46702,0.60K,-0.31%
05-07-2021,46788,46381,46880,46381,1.24K,0.78%
02-07-2021,46549,46704,47267,46349,2.40K,-0.33%
01-07-2021,46731,47757,48078,46555,3.08K,-4.65%
30-06-2021,48880,48882,48966,47479,1.15K,0.27%
29-06-2021,48706,49007,49083,48617,0.77K,-0.51%
28-06-2021,48939,49274,49287,48412,1.78K,-0.73%
25-06-2021,49264,49840,49939,49193,1.57K,-0.87%
24-06-2021,49678,49537,49853,49053,1.60K,0.04%
23-06-2021,49630,49602,49785,49487,0.64K,0.06%
22-06-2021,49729,49907,50033,49508,1.58K,-0.22%
21-06-2021,49705,49540,49809,49312,1.02K,0.36%
18-06-2021,49514,49022,49689,48567,1.78K,0.99%
17-06-2021,49071,50026,50076,48917,1.71K,-1.91%
16-06-2021,49412,49187,49458,49073,0.89K,0.25%
15-06-2021,49345,49407,49697,49076,1.90K,0.10%
14-06-2021,49178,49225,49545,48907,290.65K,-0.10%
11-06-2021,49267,49128,49348,48743,1.21K,0.36%
10-06-2021,48981,49002,49177,48793,3.11K,-0.19%
09-06-2021,49013,48977,49317,48735,178.18K,0.17%
08-06-2021,48908,48468,48990,48262,176.60K,0.73%
07-06-2021,48457,48429,48542,48231,55.84K,0.42%
04-06-2021,48296,48334,48640,48131,53.04K,-0.27%
03-06-2021,48540,48239,48625,48084,44.91K,0.03%
02-06-2021,48471,48183,48723,47725,58.81K,0.71%
01-06-2021,48066,48040,48264,47950,49.55K,0.03%
31-05-2021,47824,47157,47863,47146,42.11K,1.61%
28-05-2021,46997,46724,47227,46519,24.14K,0.76%
27-05-2021,46835,46592,46958,46440,41.80K,0.07%
26-05-2021,46812,47207,47368,46560,55.16K,-0.72%
25-05-2021,47198,47185,47357,46728,71.63K,-0.09%
24-05-2021,47268,47173,47489,47088,64.97K,0.34%
21-05-2021,47101,46685,47435,46643,26.44K,0.86%
20-05-2021,46821,46076,46888,45950,23.09K,1.76%
19-05-2021,46141,45996,46237,45754,20.46K,0.47%
18-05-2021,45823,46259,46426,45653,9.94K,-0.88%
17-05-2021,46408,45797,46583,45748,7.92K,1.37%
14-05-2021,45760,45866,45894,45651,17.31K,-0.04%
13-05-2021,45890,46245,46434,45535,8.69K,-0.32%
12-05-2021,46072,46103,46295,45755,5.98K,-0.28%
11-05-2021,46096,46153,46272,45982,7.80K,-0.07%
10-05-2021,46183,46020,46251,45885,3.72K,0.13%
07-05-2021,45992,46157,46465,45780,5.12K,-0.23%
06-05-2021,46319,46656,46734,46197,2.13K,-0.62%
05-05-2021,46739,46359,46864,46318,3.26K,0.83%
04-05-2021,46329,46129,46386,45949,1.91K,0.43%
03-05-2021,46160,46352,46655,46053,1.87K,-0.53%
30-04-2021,46555,46137,46659,46072,2.57K,0.76%
29-04-2021,46233,45449,46327,45397,3.88K,1.76%
28-04-2021,45674,45942,46050,45582,2.79K,-0.65%
27-04-2021,46031,45641,46076,45399,4.27K,0.86%
26-04-2021,45741,46021,46094,45609,3.63K,-0.70%
23-04-2021,46169,46447,46492,45802,4.02K,-0.77%
22-04-2021,46644,46093,46668,45995,4.00K,0.96%
