Date,Price,Open,High,Low,Vol.,Change %
02-08-2024,73096,72581,73793,72392,176.27K,0.86%
01-08-2024,72399,71723,72588,71502,172.97K,2.09%
31-07-2024,70911,71156,71605,70610,26.11K,-0.11%
30-07-2024,71008,70477,71268,70226,14.23K,1.17%
29-07-2024,70208,71505,71602,70163,28.16K,-2.58%
26-07-2024,72030,71823,72535,71478,13.60K,0.35%
25-07-2024,71791,71519,71971,71268,12.13K,0.52%
24-07-2024,71410,71679,71992,71133,8.82K,-0.19%
23-07-2024,71517,72916,72951,71417,14.44K,-2.33%
22-07-2024,73201,73384,73844,72803,7.85K,-0.14%
19-07-2024,73368,73749,74210,73247,12.31K,-0.31%
18-07-2024,73469,72302,73652,72193,12.75K,1.59%
17-07-2024,72316,72060,72785,71641,6.43K,0.34%
16-07-2024,72020,72029,72088,71299,7.07K,-0.04%
15-07-2024,72076,70768,72318,70759,9.84K,1.76%
12-07-2024,70794,70520,71192,70503,5.84K,0.50%
11-07-2024,70436,70409,70719,70106,7.64K,0.18%
10-07-2024,70315,71257,71349,70167,10.24K,-1.41%
09-07-2024,71281,70303,71390,70071,4.92K,2.39%
08-07-2024,69646,69723,69836,69492,,-1.17%
05-07-2024,70471,69570,70615,69511,6.49K,1.54%
04-07-2024,69384,69608,69749,69219,5.80K,-0.23%
03-07-2024,69584,69419,69852,69259,2.30K,-0.03%
02-07-2024,69585,69502,69897,69293,2.98K,0.14%
01-07-2024,69439,68629,69586,68576,3.55K,1.00%
28-06-2024,68682,69267,69323,68435,3.77K,-0.75%
27-06-2024,69268,69657,69818,69165,1.83K,-0.58%
26-06-2024,69773,69399,69859,69357,1.06K,0.57%
25-06-2024,69251,70448,70710,69195,2.20K,-1.58%
24-06-2024,70405,69667,70712,69511,2.55K,2.08%
21-06-2024,69058,69057,69254,68928,,-1.12%
20-06-2024,69891,69519,69921,69168,0.86K,0.75%
19-06-2024,69236,69748,69748,69107,1.17K,-0.85%
18-06-2024,69719,68808,69784,68799,1.63K,1.34%
17-06-2024,68940,69611,69658,68754,1.91K,-1.55%
14-06-2024,70066,69358,70172,69264,2.44K,1.21%
13-06-2024,69223,69255,69532,68884,1.13K,-0.02%
12-06-2024,69147,68570,69250,68487,1.11K,0.09%
11-06-2024,69229,71302,71635,68618,4.40K,-2.74%
10-06-2024,71093,70674,71290,70551,2.59K,0.65%
07-06-2024,70651,69826,70704,69764,2.77K,1.20%
06-06-2024,69768,70460,70487,69438,2.34K,-0.93%
05-06-2024,70344,69697,70520,69329,1.70K,0.99%
04-06-2024,69781,70362,70827,69675,2.31K,-0.87%
03-06-2024,70022,69832,70172,69369,3.32K,1.07%
31-05-2024,69568,70175,70213,69348,172.06K,-0.64%
30-05-2024,69895,69322,70150,69237,129.15K,0.97%
29-05-2024,69275,68731,69539,68608,105.47K,-0.02%
28-05-2024,69137,69008,69559,68896,48.41K,-0.12%
27-05-2024,69171,70508,70584,68901,64.70K,-2.32%
24-05-2024,70777,71732,71878,70340,50.55K,-1.36%
23-05-2024,71911,72052,72266,71403,42.50K,-0.51%
22-05-2024,72263,71794,72712,71462,46.93K,0.87%
21-05-2024,71664,70583,71949,70501,33.34K,1.33%
20-05-2024,70747,70993,71243,70444,28.57K,-0.38%
17-05-2024,71020,70068,71046,69909,28.97K,1.47%
16-05-2024,70132,69602,70282,69569,22.96K,0.71%
15-05-2024,69605,70381,70414,69449,59.07K,-1.33%
14-05-2024,70606,69958,70898,69944,77.27K,1.48%
13-05-2024,69557,68839,69955,68768,51.69K,0.76%
10-05-2024,69097,69091,69295,68770,62.93K,-0.08%
09-05-2024,69067,69350,69488,68888,74.12K,-0.29%
08-05-2024,69285,68746,69591,68381,23.92K,0.98%
07-05-2024,68610,68746,69240,67966,28.12K,-0.04%
06-05-2024,68658,69250,69432,68213,21.42K,-0.06%
03-05-2024,68611,68228,69428,68055,17.04K,0.35%
02-05-2024,68418,69719,69719,68221,13.50K,-2.32%
01-05-2024,70056,69759,70083,69282,9.15K,0.44%
30-04-2024,69743,69717,70232,69490,8.13K,0.20%
29-04-2024,69568,69204,70004,68812,10.21K,0.18%
26-04-2024,69437,69339,69790,69031,6.80K,-0.14%
25-04-2024,69461,69470,69635,68354,10.44K,-0.19%
24-04-2024,69598,71282,71282,69357,11.21K,-2.79%
23-04-2024,71554,70949,72124,70770,5.89K,0.66%
22-04-2024,71162,70662,71438,70603,6.87K,0.40%
19-04-2024,70878,71169,71574,70384,7.59K,-0.80%
18-04-2024,71598,71289,71796,70765,5.64K,1.04%
17-04-2024,70967,70583,71586,69704,10.43K,0.37%
16-04-2024,70696,71121,72909,70009,26.72K,0.07%
15-04-2024,70517,69845,71179,69645,17.34K,1.03%
12-04-2024,69842,70517,70696,69521,8.96K,-0.58%
11-04-2024,70067,69882,70708,69879,7.86K,0.49%
10-04-2024,69780,69716,70369,68918,8.96K,0.24%
09-04-2024,69440,68398,69566,67720,9.46K,1.60%
08-04-2024,68421,68770,68905,68145,5.18K,-0.28%
05-04-2024,68631,68213,68795,67776,6.51K,1.46%
04-04-2024,67684,67396,68264,67267,8.19K,1.09%
03-04-2024,67084,67161,67938,66852,7.76K,0.85%
02-04-2024,66377,65692,66917,65477,7.10K,1.16%
01-04-2024,65642,65237,65804,65098,4.26K,1.51%
29-03-2024,64658,64535,65346,64388,220.67K,0.05%
28-03-2024,64631,64345,64804,64275,124.95K,0.76%
27-03-2024,64098,64777,64921,64057,88.19K,-1.13%
26-03-2024,64841,65014,66020,64347,127.19K,1.10%
25-03-2024,64207,64213,65125,63948,54.11K,0.06%
22-03-2024,64308,64437,64502,64033,41.98K,-0.22%
21-03-2024,64132,64000,64214,63689,52.41K,0.13%
20-03-2024,64049,64213,64492,63970,28.57K,-0.27%
19-03-2024,64097,64454,64492,63783,28.53K,-0.60%
18-03-2024,64403,63900,64534,63836,65.07K,0.67%
15-03-2024,63960,64600,64667,63676,67.25K,-1.01%
14-03-2024,64637,64593,64821,64409,83.44K,0.17%
13-03-2024,64455,63897,64951,63748,108.34K,0.93%
12-03-2024,63832,63576,64031,63444,61.74K,0.33%
11-03-2024,63574,62938,63642,62816,34.24K,0.75%
08-03-2024,63113,62559,63356,62433,20.58K,0.73%
07-03-2024,62632,61608,62684,61514,43.27K,1.46%
06-03-2024,61787,60514,61828,60359,46.81K,2.00%
05-03-2024,60659,60332,60794,60118,9.73K,0.58%
04-03-2024,60326,60238,60460,60060,4.89K,-0.07%
01-03-2024,60316,60216,60453,60149,6.03K,0.26%
29-02-2024,60204,60356,60429,60066,4.57K,-0.51%
28-02-2024,60511,60069,60619,59815,7.46K,0.92%
27-02-2024,59944,60099,60362,59906,4.85K,-0.17%
26-02-2024,60024,60080,60290,59931,4.49K,-0.27%
23-02-2024,60197,59911,60273,59747,8.14K,0.97%
